Date,Open,High,Low,Close,Adj Close,Volume
2012-07-23,21.228571,21.639286,20.989643,21.565357,18.280512,487975600
2012-07-24,21.692142,21.774286,21.375357,21.461430,18.192419,565132400
2012-07-25,20.516430,20.742857,20.357143,20.534643,17.406801,877312800
2012-07-26,20.705713,20.728571,20.370001,20.531429,17.404078,406632800
2012-07-27,20.536072,20.922501,20.413929,20.898571,17.715296,403936400
2012-07-30,21.104286,21.408571,20.993570,21.251072,18.014109,379142400
2012-07-31,21.543928,21.846430,21.525715,21.812857,18.490314,462327600
2012-08-01,21.996786,22.014286,21.535713,21.671785,18.370731,384501600
2012-08-02,21.530001,21.810356,21.437500,21.706785,18.400402,332158400
2012-08-03,21.915358,22.070715,21.841429,21.989286,18.639874,344920800
2012-08-06,22.046070,22.316786,21.973572,22.233929,18.847246,302103200
2012-08-07,22.241785,22.321428,22.072857,22.175358,18.797600,290446800
2012-08-08,22.121071,22.281429,22.039286,22.137857,18.765810,244706000
2012-08-09,22.066071,22.204643,22.064285,22.168928,18.872835,221642400
2012-08-10,22.096786,22.205713,22.096430,22.203571,18.902328,194938800
2012-08-13,22.263929,22.500000,22.258928,22.500000,19.154682,278832400
2012-08-14,22.566786,22.807501,22.507500,22.560356,19.206062,340169200
2012-08-15,22.546429,22.642857,22.419643,22.529642,19.179914,257342400
2012-08-16,22.543215,22.741428,22.517857,22.726429,19.347448,254534000
2012-08-17,22.857143,23.149643,22.814644,23.146786,19.705301,442761200
2012-08-20,23.214643,23.755358,23.210714,23.755358,20.223394,613384800
2012-08-21,23.957857,24.102858,23.226070,23.430714,19.947021,812719600
2012-08-22,23.372143,23.892857,23.146786,23.888214,20.336494,565322800
2012-08-23,23.789642,23.924999,23.612499,23.665358,20.146770,420128800
2012-08-24,23.553928,23.910000,23.412500,23.686428,20.164711,437340400
2012-08-27,24.285357,24.316786,24.055000,24.131430,20.543550,427008400
2012-08-28,24.106428,24.146429,23.952499,24.100000,20.516796,267416800
2012-08-29,24.116072,24.202499,24.021429,24.052500,20.476358,202806800
2012-08-30,23.951429,23.983929,23.673214,23.709642,20.184473,302699600
2012-08-31,23.830357,23.878571,23.473213,23.758572,20.226133,338321200
2012-09-04,23.777143,24.112143,23.732143,24.106071,20.521963,367892000
2012-09-05,24.127501,24.155357,23.914286,23.936787,20.377846,336375200
2012-09-06,24.041786,24.224644,23.957144,24.152500,20.561487,391196400
2012-09-07,24.216070,24.374287,24.134644,24.301430,20.688276,329666400
2012-09-10,24.301786,24.403214,23.646429,23.669287,20.150120,487998000
2012-09-11,23.753929,23.932142,23.446428,23.592501,20.084753,503983200
2012-09-12,23.816071,23.924999,23.428572,23.921070,20.364460,712233200
2012-09-13,24.191786,24.482143,24.098928,24.392143,20.765497,598360000
2012-09-14,24.641430,24.892143,24.567499,24.688572,21.017859,600474000
2012-09-17,24.976786,24.992857,24.807501,24.992144,21.276291,398031200
2012-09-18,24.995714,25.083214,24.872143,25.068214,21.341059,373503200
2012-09-19,25.009287,25.142500,24.984644,25.075001,21.346834,326874800
2012-09-20,24.969999,25.002144,24.772142,24.953571,21.243456,336568400
2012-09-21,25.086071,25.181070,24.977142,25.003214,21.285719,571589200
2012-09-24,24.530714,24.825714,24.392857,24.671070,21.002958,639766400
2012-09-25,24.580713,24.742144,24.035713,24.055000,20.478483,518789600
2012-09-26,23.883572,24.024643,23.614286,23.756430,20.224308,576503200
2012-09-27,23.724644,24.363214,23.583929,24.332857,20.715029,594090000
2012-09-28,24.241072,24.325357,23.812500,23.825001,20.282681,535110800
2012-10-01,23.969999,24.169643,23.446428,23.549643,20.048267,543594800
2012-10-02,23.636070,23.798214,23.237499,23.618214,20.106634,627992400
2012-10-03,23.745001,23.995001,23.665358,23.980356,20.414940,424281200
2012-10-04,23.973213,24.080357,23.769644,23.814285,20.273558,370725600
2012-10-05,23.757143,23.785713,23.260000,23.306786,19.841518,594006000
2012-10-08,23.102858,23.127144,22.718214,22.791786,19.403090,637994000
2012-10-09,22.808929,22.874643,22.269644,22.708929,19.332554,838597200
