,Open,High,Low,Close,Volume,P_news_pos,P_news_neg,P_op_pos,P_op_neg,Next_Open
1617,65.922501,66.002502,65.294998,65.502502,121395200,0.0,0.5,0.3333333333333333,0.3333333333333333,65.647499
1618,65.647499,65.794998,65.209999,65.445,65325200,0.0,0.3333333333333333,1.0,0.0,65.677498
1619,65.677498,66.610001,65.629997,66.592499,84020400,0.5,0.0,1.0,0.0,66.735001
1620,66.735001,66.790001,65.625,66.072502,105207600,0.5,0.5,0.5,0.0,66.394997
1621,66.394997,66.995003,66.327499,66.959999,65235600,0.3333333333333333,0.3333333333333333,0.0,0.0,66.650002
1622,66.650002,67.0,66.474998,66.8125,46617600,0.3333333333333333,0.3333333333333333,0.0,0.0,42.525002
1623,42.525002,42.75,42.424999,42.7225,89134000,0.4285714285714285,0.2857142857142857,0.5,0.125,45.0
1624,45.0,45.6675,44.842499,45.227501,129870400,0.0833333333333333,0.0833333333333333,0.375,0.25,49.799999
1625,49.799999,50.035,49.052502,49.717499,111042800,0.3333333333333333,0.3333333333333333,0.847457627118644,0.0847457627118644,48.487499
1626,48.487499,48.9925,48.3475,48.547501,73012800,0.8,0.0,1.0,0.0,50.612499
1627,50.612499,51.0,50.549999,50.825001,70380800,0.5,0.0,1.0,0.0,49.904999
1628,49.904999,50.512501,49.787498,50.119999,89927600,0.5,0.5,0.75,0.0,56.200001
1629,56.200001,56.605,55.715,55.772499,128906800,0.375,0.25,0.5,0.1666666666666666,65.387497
1630,65.387497,65.697502,65.230003,65.489998,87388800,0.5454545454545454,0.0909090909090909,0.7142857142857143,0.0,66.945
1631,66.945,68.139999,66.830002,67.864998,137310400,0.0,0.4545454545454545,0.4,0.2,67.864998
1632,67.864998,68.824997,67.732498,68.787498,133587600,0.1111111111111111,0.2222222222222222,0.0,0.0,69.25
1633,69.25,70.197502,69.245003,69.964996,128186000,0.5,0.1666666666666666,0.8571428571428571,0.1428571428571428,69.892502
1634,69.892502,70.442497,69.699997,70.102501,114158400,0.4285714285714285,0.2857142857142857,0.5454545454545454,0.0,69.949997
1635,69.949997,70.474998,69.779999,69.934998,116028400,0.4,0.0,0.6,0.0,69.875
1636,69.875,70.294998,69.737503,70.004997,98369200,0.0,0.0,0.8536585365853658,0.048780487804878,70.557503
1637,70.557503,70.662498,69.639999,69.860001,275978000,0.7,0.2,1.0,0.0,70.1325
1638,70.1325,71.0625,70.092499,71.0,98572000,0.8333333333333334,0.0,0.7,0.1,71.172501
1639,71.172501,71.222504,70.730003,71.067497,48478800,0.6666666666666666,0.0,0.5,0.0,71.205002
1640,71.205002,72.495003,71.175003,72.477501,93121200,0.3333333333333333,0.0,1.0,0.0,72.779999
1641,72.779999,73.4925,72.029999,72.449997,146266000,0.5,0.1666666666666666,0.8,0.0,72.364998
1642,72.364998,73.172501,71.305,72.879997,144114400,1.0,0.0,1.0,0.0,72.482498
1643,72.482498,73.419998,72.379997,73.412498,100805600,0.2857142857142857,0.2857142857142857,1.0,0.0,77.910004
1644,77.910004,79.267502,77.787498,79.239998,121532000,0.6,0.0,0.7142857142857143,0.2857142857142857,79.175003
1645,79.175003,79.392502,78.042503,78.169998,161954400,0.4615384615384615,0.1538461538461538,0.6666666666666666,0.0,77.962502
1646,77.962502,78.875,77.387497,77.834999,121923600,0.7272727272727273,0.0,0.6666666666666666,0.0,78.397499
1647,78.397499,78.925003,78.022499,78.809998,108829200,0.1428571428571428,0.0,0.875,0.125,79.067497
1648,79.067497,79.684998,78.75,79.682503,137816400,0.5,0.25,0.7,0.0,79.297501
1649,79.297501,79.754997,79.0,79.142502,110843200,0.2,0.2,0.5238095238095238,0.238095238095238,79.644997
1650,79.644997,79.997498,79.327499,79.425003,101832400,0.3333333333333333,0.2,0.6666666666666666,0.0666666666666666,79.480003
1651,79.480003,79.889999,78.912498,79.807503,104472000,0.4615384615384615,0.0769230769230769,0.9090909090909092,0.0,80.0625
1652,80.0625,80.832497,79.379997,79.577499,146537600,0.4166666666666667,0.1666666666666666,0.75,0.0,77.514999
