,Date,Open,High,Low,Close,Adj Close,Volume,P_news_neg,P_news_pos,P_op_neg,P_op_pos
0,2012-07-23,21.228571,21.639286,20.989643,21.565357,18.280512,487975600,0.3290937996820346,0.6709062003179654,0.3290937996820346,0.6709062003179654
1,2012-07-24,21.692142,21.774286,21.375357,21.46143,18.192419,565132400,0.4067796610169492,0.5932203389830508,0.4067796610169492,0.5932203389830508
2,2012-07-25,20.51643,20.742857,20.357143,20.534643,17.406801,877312800,0.0,0.0,0.0,0.0
3,2012-07-26,20.705713,20.728571,20.370001,20.531429,17.404078,406632800,0.0,0.0,0.0,0.0
4,2012-07-27,20.536072,20.922501,20.413929,20.898571,17.715296,403936400,0.3969849246231156,0.6030150753768844,0.3969849246231156,0.6030150753768844
5,2012-07-30,21.104286,21.408571,20.99357,21.251072,18.014109,379142400,0.4900662251655629,0.5099337748344371,0.4900662251655629,0.5099337748344371
6,2012-07-31,21.543928,21.84643,21.525715,21.812857,18.490314,462327600,0.2926829268292683,0.7073170731707317,0.2926829268292683,0.7073170731707317
7,2012-08-01,21.996786,22.014286,21.535713,21.671785,18.370731,384501600,0.0,0.0,0.0,0.0
8,2012-08-02,21.530001,21.810356,21.4375,21.706785,18.400402,332158400,0.0,0.0,0.0,0.0
9,2012-08-03,21.915358,22.070715,21.841429,21.989286,18.639874,344920800,0.0,0.0,0.0,0.0
10,2012-08-06,22.04607,22.316786,21.973572,22.233929,18.847246,302103200,0.0,0.0,0.0,0.0
11,2012-08-07,22.241785,22.321428,22.072857,22.175358,18.7976,290446800,0.0,0.0,0.0,0.0
12,2012-08-08,22.121071,22.281429,22.039286,22.137857,18.76581,244706000,0.0,0.0,0.0,0.0
13,2012-08-09,22.066071,22.204643,22.064285,22.168928,18.872835,221642400,0.0,0.0,0.0,0.0
14,2012-08-10,22.096786,22.205713,22.09643,22.203571,18.902328,194938800,0.4786885245901639,0.5213114754098361,0.4786885245901639,0.5213114754098361
15,2012-08-13,22.263929,22.5,22.258928,22.5,19.154682,278832400,0.0,0.0,0.0,0.0
16,2012-08-14,22.566786,22.807501,22.5075,22.560356,19.206062,340169200,0.434673366834171,0.565326633165829,0.434673366834171,0.565326633165829
17,2012-08-15,22.546429,22.642857,22.419643,22.529642,19.179914,257342400,0.0947368421052631,0.9052631578947368,0.0947368421052631,0.9052631578947368
18,2012-08-16,22.543215,22.741428,22.517857,22.726429,19.347448,254534000,0.2877358490566037,0.7122641509433962,0.2877358490566037,0.7122641509433962
19,2012-08-17,22.857143,23.149643,22.814644,23.146786,19.705301,442761200,0.408,0.592,0.408,0.592
20,2012-08-20,23.214643,23.755358,23.210714,23.755358,20.223394,613384800,0.0,0.0,0.0,0.0
21,2012-08-21,23.957857,24.102858,23.22607,23.430714,19.947021,812719600,0.3384615384615383,0.6615384615384616,0.3384615384615383,0.6615384615384616
22,2012-08-22,23.372143,23.892857,23.146786,23.888214,20.336494,565322800,0.428341384863124,0.571658615136876,0.428341384863124,0.571658615136876
23,2012-08-23,23.789642,23.924999,23.612499,23.665358,20.14677,420128800,0.3253012048192771,0.674698795180723,0.3253012048192771,0.674698795180723
24,2012-08-24,23.553928,23.91,23.4125,23.686428,20.164711,437340400,0.0,0.0,0.0,0.0
25,2012-08-27,24.285357,24.316786,24.055,24.13143,20.54355,427008400,0.2769230769230769,0.7230769230769231,0.2769230769230769,0.7230769230769231
26,2012-08-28,24.106428,24.146429,23.952499,24.1,20.516796,267416800,0.3609154929577464,0.6390845070422536,0.3609154929577464,0.6390845070422536
27,2012-08-29,24.116072,24.202499,24.021429,24.0525,20.476358,202806800,0.0,0.0,0.0,0.0
28,2012-08-30,23.951429,23.983929,23.673214,23.709642,20.184473,302699600,0.3550724637681159,0.6449275362318839,0.3550724637681159,0.6449275362318839
29,2012-08-31,23.830357,23.878571,23.473213,23.758572,20.226133,338321200,0.0,0.0,0.0,0.0
30,2012-09-04,23.777143,24.112143,23.732143,24.106071,20.521963,367892000,0.0,0.0,0.0,0.0
31,2012-09-05,24.127501,24.155357,23.914286,23.936787,20.377846,336375200,0.0,0.0,0.0,0.0
