Date,opinion_neg,opinion_neu,opinion_pos,opinion_compound,news_neg,news_neu,news_pos,news_compound
2019-01-16,0.07680952380952383,0.7361904761904763,0.18695238095238098,0.8577571428571428,0.07588461538461538,0.7461923076923078,0.1778846153846154,0.7901692307692308
2019-01-17,0.08357142857142856,0.7337142857142857,0.18264285714285716,0.8790571428571429,0.07952941176470589,0.7476470588235292,0.17276470588235296,0.7979352941176473
2019-01-18,0.05319999999999999,0.7456,0.2012,0.99508,0.07366666666666669,0.7871111111111111,0.13922222222222222,0.3867888888888889
2019-01-22,0.07977777777777778,0.7681111111111112,0.15211111111111114,0.7289000000000001,0.07052631578947369,0.7912631578947368,0.13815789473684212,0.6599947368421052
2019-01-23,0.06160240963855421,0.7699036144578315,0.16855421686746988,0.9469373493975903,0.06441111111111114,0.7696999999999999,0.16593333333333335,0.9065777777777778
2019-01-24,0.061709677419354854,0.7638709677419357,0.1742258064516129,0.9402516129032259,0.06176470588235296,0.7698823529411766,0.1681764705882353,0.9119264705882353
2019-01-25,0.07464285714285714,0.7507857142857143,0.17449999999999996,0.9765142857142857,0.06341176470588236,0.7687647058823529,0.16770588235294115,0.9755999999999998
2019-01-28,0.07813636363636364,0.7727727272727272,0.1490454545454545,0.767309090909091,0.07661538461538463,0.7688076923076925,0.15449999999999997,0.7750076923076923
2019-01-29,0.09395,0.7640999999999999,0.14194999999999997,0.474545,0.084375,0.7783750000000002,0.13721875,0.5143249999999999
2019-01-30,0.08295833333333334,0.7760416666666666,0.1408333333333333,0.7223166666666668,0.08246666666666667,0.7738888888888888,0.14360000000000003,0.7097911111111112
2019-01-31,0.07194366197183098,0.7600704225352113,0.1679577464788732,0.9200422535211269,0.07392207792207792,0.7616753246753246,0.1643636363636363,0.8536025974025975
2019-02-01,0.055461538461538465,0.7766153846153846,0.16815384615384615,0.9875076923076923,0.06649999999999999,0.7635624999999999,0.170125,0.86515
2019-02-04,0.0615,0.776375,0.16225,0.9641624999999999,0.054333333333333345,0.7789166666666665,0.16683333333333328,0.9616166666666667
